id,season,episode,title,plot,link
11,2,4,Down,"Walter White and Jesse Pinkman meet at a gas station to discuss their next move. Walt says he needs time to reassure his family after his ""fugue state""[a] before he can cook again, and gives Jesse $600. The next morning, Walt cheerily makes breakfast, clearly disturbing Skyler White and Walter White Jr.; Skyler abruptly leaves the house and does not return until much later, not telling Walt where she has been. Meanwhile, Jesse meets with an attorney and his parents, who tell him that they found the meth lab in his basement and are evicting him from his aunt's house. They tell him he has 72 hours to leave, but the next morning Jesse's mother arrives with workmen who take everything in the house to storage. Jesse at first tries to convince his mother that he can change, then angrily tells her that he earned the house by taking care of his cancer-stricken aunt while his mother did nothing. She loses her temper and slaps him.
Afterwards, Jesse searches for a place to stay, but all of his friends turn him away. While Jesse is making a call at the gas station, his motorcycle and all his remaining possessions are stolen. Dejected, Jesse breaks into the lot where his RV is being kept, but accidentally falls through a Port-a-Potty, drenching himself in waste. He sleeps in his RV, only able to breathe through a gas mask. The next day, Clovis, the lot owner, finds him and demands the money he is owed, plus extra for repairs to the RV and the Port-a-Potty. Having no cash, Jesse begs for time to pay him back, but Clovis kicks him out. Jesse breaks back into the lot, steals his RV, and escapes by driving through the locked gate.
Hoping to reconnect with his son, Walt offers to give Walt Jr. a driving lesson while Skyler is out again. Walt Jr. shows his skill at driving, but Walt notices that he is using both feet to work the pedals due to his cerebral palsy. When Walt tries to get him to only use the right foot, Walt Jr. gets upset and accidentally hits a safety cone.
While Walt Jr. is at school, Walt tries to have a conversation with Skyler. He apologizes for how he has been acting lately, but Skyler is still convinced he is hiding something and storms out when he won't tell her what it is. Walt follows her out and sees the RV parked near his house. He confronts Jesse over making contact, and Jesse tells him he only wants his half of the money they've made and will disappear. Walt angrily states that he has done all the work while Jesse has done nothing, ranting that Jesse is a ""pathetic junkie"" who is too stupid to follow simple instructions. This causes Jesse to lose his temper and attack him, but he stops himself from killing Walt. Walt brings Jesse inside and gives him his half of the earnings, and then offers him breakfast. Meanwhile, back at the gas station, a pregnant Skyler gets into her car and takes out a cigarette and lighter. She hesitates, as she is silently judged by someone in a nearby car, but starts smoking.
",https://en.wikipedia.org/wiki/Down_(Breaking_Bad)
12,2,5,Breakage,"Walter White finishes his first round of chemotherapy and is told he will learn the results in two months' time. However, Walt begins to feel overwhelmed by the growing medical bills, and the money he made from Tuco Salamanca is running out. While he is vomiting into the toilet, he finds something clogging it – the packet of cigarettes Skyler White was smoking.
Jesse Pinkman returns to Clovis to make good on his word: he pays for the towing and repair of his gate. He also works out a deal to store his RV in Clovis' lot and buys a used car from him. Next, he rents an unfurnished apartment from Jane Margolis, who manages the property and lives next door. Although he likes the space, he has no credit history and can only pay in cash. She initially refuses to rent to him but eventually agrees after raising the price for cash only.
Hank Schrader is promoted to a high-ranking Albuquerque liaison for the DEA, and will have to split his time between the city and El Paso, Texas. He goes out to celebrate with his friends but has a panic attack on the elevator ride down. He takes off work to bottle some of the beer he has brewed at home. Marie Schrader is confused at this behavior, but he assures her everything is all right. After she leaves, a bottle breaks during capping, cutting his hand.
Meanwhile, Walt and Jesse meet again to discuss how to distribute their meth. Jesse does not want to work on his own now that the DEA has found him, and suggests building a network of dealers so that they can be both distributors and producers. Walt is initially reluctant, but Jesse threatens to walk if they don't follow his plan. Later, Jesse invites his friends Combo, Skinny Pete, and Badger to his apartment, and discusses employing them as dealers.
At a cookout celebrating Hank's promotion, Skyler demands that Marie apologize for giving Skyler the stolen tiara, or it will irreversibly drive a wedge between them; Marie tearfully does so.
Jesse's dealers are doing well selling their meth until Skinny Pete is robbed by one of his customers. When Jesse gives Walt his share, minus the stolen money, he explains that it is breakage—revenue loss from damaged, lost, or stolen goods—that must be expected as the cost of doing business. Walt, however, worries about what will happen when word gets out that they can be robbed with impunity. He later shows up at Jesse's apartment and gives him a gun, telling him to take care of the problem.
Walt also confronts Skyler over her smoking, but she refuses to apologize for keeping secrets when he has been doing the same. That night, Hank is woken by what he thinks are gunshots and goes through the house with his pistol drawn. It turns out to be caps popping off beer bottles due to pressure. The next day, he drives down to the Rio Grande and throws his trophy of Tuco's grill into the river.
",https://en.wikipedia.org/wiki/Breakage_(Breaking_Bad)
13,2,6,Peekaboo,"Jesse Pinkman gets the address of the couple who ripped off Skinny Pete and goes to their dilapidated house. Upon breaking inside, he finds and tends to their young neglected son. When the couple returns home, an enraged Jesse holds them up and demands that they return his meth and his money. They give him part of the meth, claiming to have lost the other portion, and show him an ATM they have stolen from a convenience store. The husband, Spooge, works unsuccessfully to open the ATM. While Jesse is busy playing with the son, the wife knocks him unconscious, stealing his gun and drugs. Jesse wakes up to see Spooge trying to open the ATM from the bottom. His wife, angry that he keeps calling her a ""skank"", knocks the ATM over, crushing him; she then takes his drugs and gets high on the couch. Jesse hurriedly takes back the gun, takes what money he can when the ATM pops open, and calls 9-1-1. He then brings the boy out of the house, tells him not to go back inside, and runs away.
On his first day back teaching after finishing chemotherapy, Walter White teaches his class about Dr. Tracy Hall, the inventor of synthetic diamonds, who earned only a pittance for his invention while General Electric made an incalculable profit. At home, Skyler White gets a call from Gretchen Schwartz, who she still believes is paying Walt's medical bills. Skyler invites Gretchen over that afternoon, but Gretchen quickly leaves when Walt arrives home. Walt follows Gretchen outside and tells her not to say anything until they can talk. Walt later tries to apologize to Gretchen for lying, but Gretchen demands to know why Walt did it and how he has been paying for his treatment. Walt, angry at being cut out of Gray Matter Technologies, denies her any right to that information; Gretchen insists that Walt was the one who left by walking out of their past relationship. Walt curses at Gretchen, making her leave. When Walt gets back home, Skyler tells him that Gretchen called to say that the Schwartzes will no longer be paying for Walt's treatment. Walt claims that the Schwartzes have gone broke, and that he drove up to Santa Fe to discuss the situation with Gretchen.
",https://en.wikipedia.org/wiki/Peekaboo_(Breaking_Bad)
14,2,7,Negro y Azul,"Walt has trouble getting in touch with Jesse and goes to his apartment. Jesse has been staying inside and smoking marijuana since witnessing Spooge's murder.[a] Walt is at first horrified that someone was murdered but calms down upon learning that Jesse was not the actual killer, and that nobody can identify Jesse. Badger calls to set up a deal. Walt is forced to meet Jesse's dealers and learns they are now afraid of Jesse following a rumor that he killed Spooge. Walt uses Jesse's new underworld reputation to galvanize him into helping expand their operation.
Hank is having trouble fitting in at the DEA office in El Paso, Texas. At a meeting with a cartel informant nicknamed ""Tortuga"", Hank loses his patience with the man's demands and his apparent disrespect. Later, while waiting for a meeting in the desert, Hank spots a message from the cartels: Tortuga's severed head mounted on top of a tortoise. Sickened by the grotesque display, Hank moves away from the tortoise. As the agents laugh,  the tortoise blows up.
Due to financial constraints, Skyler goes to her old company to apply for a job. She meets with her old friend and boss, Ted Beneke. He decides to give Skyler her old job in the accounting department. Walt is concerned over Skyler's health at the workplace, especially since she originally left due to health problems from the company's manufacturing. There is obvious sexual tension between Skyler and Beneke; he reveals that he recently separated from his wife, the mother of his two children.
Jesse sees his landlady, Jane Margolis, drawing on their front steps, and connects with her over their love of art. However, he is recognized by a passing motorcyclist who has heard of his reputation and calls him by his real last name. After Jesse later admits to lying to her, Jane says that she doesn't care what he does as long as he doesn't do it at the house. He invites her inside to watch TV, even though he can't get his new television working. She holds his hand as they stare at the blank television.
",https://en.wikipedia.org/wiki/Negro_y_Azul
15,2,8,Better Call Saul,"After Badger is arrested in a sting operation by the Albuquerque Police, Walter White and Jesse Pinkman look into hiring a shady, flamboyant lawyer named Saul Goodman. Saul has already offered to be Badger's legal counsel. Walt poses as Badger's uncle and goes to Saul's office. Walt offers Saul a bribe to keep Badger from confessing, but Saul refuses.
Walt and Jesse resort to kidnapping Saul, threatening to kill him if he does not keep Badger from informing on them. Initially, Saul pleads for mercy, believing they were sent by a man named ""Lalo"". He blames this apparent slight towards Lalo on a man named ""Ignacio"",[a] and referring to himself as an ""amigo del cartel"". However, upon realizing that they are not cartel enforcers but are instead associates of Badger, Saul asks for payment so he can legally represent them and keep their talks confidential. Saul tells the duo about a man, Jimmy ""In-'N-Out"" Kilkelly, who makes a living being paid by other criminals to go to jail, and offers to have him stand in for Heisenberg. The DEA busts Kilkelly when Badger gives them a fake deal, but Hank Schrader is not completely convinced. Later, Saul visits Walt at his school, telling him that he is too easy to find. Saul offers to be Walt's full-time legal counsel and adviser in covering his tracks.
Skyler White goes to work on a Saturday, and Walt notices that she is dressing up for her new job with Ted. Seeing that Hank has holed himself in his house, Walt gives him a motivational speech, talking about how he has not had any fear in his life since he was diagnosed with terminal lung cancer. This helps Hank leave the house, but he still has panic attacks. Meanwhile, Jesse sleeps with Jane Margolis and nurses a growing connection with her, learning that she is in recovery from addiction.
",https://en.wikipedia.org/wiki/Better_Call_Saul_(Breaking_Bad)
16,2,9,4 Days Out,"Walter White arrives at the hospital with his family to learn how he has reacted to chemotherapy. He is told that the results of the test will not be ready for a week, but sees a scan of his lungs and notices a prominent growth. Believing that he has little time left, and realizing that recent expenses and Saul Goodman's fees for money laundering leave him with little to give his family, he decides to spend several days cooking meth. He pressures Jesse Pinkman into joining him, on the false pretext that their supply of methylamine  will soon spoil. Walt tells Skyler he's visiting his mother, as an excuse to go cook with Jesse.
At the cook site in the desert, Jesse leaves the RV's keys in the ignition switch, unaware that it is draining the battery. After a few days of cooking, Walt estimates that they have $672,000 worth of meth each, about $1.34 million total. With their portable generator out of gasoline, Jesse convinces Walt to take a break and find a hotel for the night, but when they go to start the RV, they find the battery dead.
They siphon off gasoline from the RV to the generator to jump-start it, but fuel spilled on the generator catches fire, and Jesse uses all of their drinking water to douse it. Jesse suggests they call Skinny Pete for help using Walt's cell phone; despite the risk of Skyler White discovering this in his cell phone records, Walt allows Jesse to make the call. When Skinny Pete does not arrive, they call him again, and discover he is far off the directions before the phone dies. Walter unsuccessfully tries to trickle charge the RV's battery by manually turning the generator's crank. As he begins to despair, Jesse tries to rouse him, and this inspires Walt to construct a battery from the materials they have on hand. The makeshift battery provides enough power to jump-start the RV, and they are able to return to Albuquerque.
Walt and his family return to the doctor the next week, and learn that Walt's cancer is in remission and his tumor has shrunk by 80%; the ""growth"" Walt spotted was simply inflamed tissue in his lung, and a resulting tear in his esophagus caused him to cough up blood, but can be treated. Walt's family is ecstatic, but Walt, after using the bathroom, punches a towel dispenser in rage, which bruises his knuckles.
",https://en.wikipedia.org/wiki/4_Days_Out
17,2,10,Over,"Following his discovery that he is in remission, Walter White takes Skyler's advice to take the week off from work, but secretly meets with Jesse Pinkman. He tells Jesse the news, and that he is out of the drug trade now that he no longer has to pay for treatment. During Skyler's party celebrating the remission, Walt pours Walt Jr. some tequila that he and Hank Schrader are drinking. After Walt pours an excessive amount, Hank takes the bottle away from him. Walt angrily demands it back, leading to a tense standoff which is broken as Walt Jr. vomits into the pool.
The next day, Skyler refuses to answer Walt's calls in which he tries to apologize. In order to distract himself, he goes on a home improvement spree with his drug money, replacing their water heater, then creating a crawl space in the basement to fix a rot problem. At work, Skyler confides in Ted Beneke about Walt's condition. When Ted notices that she is purposefully staying late, she breaks down, saying that she doesn't feel optimistic because she knows that Walt still has cancer. Ted understands, having suffered physically while caring for his dying father. They tenderly hold hands. The next day, as Ted is leaving, Skyler creates a distraction in order to spend more time with him.
Meanwhile, Jesse clumsily makes breakfast for Jane Margolis and tells her they can spend the day together. She admires his drawings of superheroes, which she points out all look like him. They hear knocking on Jane's door, which turns out to be her father, the owner of the property. When Jesse goes outside to speak with him, Jane acts like she does not know him. Later, she tells him she was protecting him from her overbearing father, but Jesse is upset that she does not take their relationship seriously. He smokes meth to comfort himself, but brightens when Jane slides a drawing under his door: a superhero called ""Apology Girl"" that looks like her.
At the hardware store, Walt notices the cart of a young man buying materials to make drugs. He offers advice about what ingredients to get, causing the man to run away. Outside in the parking lot, Walt sees the young man and his partner are using an RV; he realizes he is being copied. He orders the two to ""stay out of my territory"". Frightened, they drive away as Walt watches in satisfaction.
",https://en.wikipedia.org/wiki/Over_(Breaking_Bad)
18,2,11,Mandala,"Combo Ortega is selling drugs on a street corner outside Heisenberg's territory when he notices two rival dealers staring him down; he is then killed by a young boy working for them. Skinny Pete, spooked by Combo's death and Badger's recent brush with the law, decides to quit the drug trade. With no distribution network, Walter White and Jesse Pinkman are forced to look elsewhere. They meet with Saul Goodman to discuss their next move. He tells them that they are incompetent distributors, and need a businessman who will buy their product in bulk. He offers to reach out to the only distributor of that kind he has heard of, but it will be difficult, as the man is extremely cautious. Jesse is distraught that he got Combo killed, and that night tells Jane Margolis to leave his apartment so that he does not harm her recovery when he smokes meth. Jane reluctantly decides to stay with him.
The next day, Walt waits at a local chicken restaurant called Los Pollos Hermanos, where the distributor has arranged to meet them; Jesse comes in late, still high, and leaves quickly afterward. Nobody talks to Walt, but he realizes later that the distributor saw him and has refused to work with him. Meanwhile, Jane relapses into drug addiction and introduces Jesse to heroin. The next day, Walt goes back to the restaurant and waits until closing time. He eventually realizes that the man he assumes is the restaurant manager is the distributor. Although the distributor maintains he is unwilling to work with a drug addict, Walt assures him that Jesse can be relied on and that their product is the best. The distributor tells Walt that he will be in touch if he decides to work with the duo, and warns Walt never to trust a drug addict.
Skyler White helps the company celebrate her boss Ted Beneke's birthday, where she sings him a sultry version of ""Happy Birthday, Mr. President"". She later finds, while investigating the accounts, that there are many inaccuracies in the payments to the company. Ted admits that he has evaded taxation on millions of dollars by under-reporting revenue to keep the company afloat and support its employees. Skyler says that while she will not turn him in, she cannot be a part of his illegal doings and quits. However, she returns to work the next day, conflicted.
Walt gets a message telling him to come to the restaurant, where he learns that the distributor is not the restaurant manager but the owner of the Los Pollos Hermanos chain of restaurants, Gus Fring. The actual manager, who appears oblivious to Gus's criminal activities, tells Walt that Gus is not currently at the store. Just as Walt is about to leave, an associate of Gus named Victor blocks him from exiting and tells him to deliver the meth to a truck stop within the next hour in exchange for $1.2 million cash, adding that if he does not do so, Gus will never do future business with him. Walt rushes to Jesse's apartment and breaks in while Jesse and Jane are in a heroin-induced haze to retrieve the meth. At the same time, Skyler goes into labor and texts Walt when he does not pick up his phone. Walt takes a moment to consider his choice before gathering the meth and leaving the house.
",https://en.wikipedia.org/wiki/Mandala_(Breaking_Bad)
19,2,12,Phoenix,"Walter White barely delivers the inventory of drugs to Gus Fring in time, but misses his daughter Holly's birth. He arrives at the hospital, where he finds that Ted Beneke drove Skyler White there. At Jesse Pinkman's apartment, Jane Margolis wakes up when she is phoned by her father, Donald, because she is late for a Narcotics Anonymous meeting. At lunch afterward, she does not mention that she has started using heroin again, and acts as though she does not know Jesse when her father asks about him. Jesse, seeing the aftermath of Walt's search, initially believes he was robbed, but then listens to the phone messages Walt left. Walt, unable to tell anyone else in his family about the money, privately shows Holly the stacks of cash hidden in the garage walls. Later, Jesse shows up at Walt's classroom to ask for his share of the money, which Walt refuses because he believes it will further Jesse's addiction. He promises to pay Jesse when he knows that Jesse is clean.
Later, Jesse and Jane inject heroin in his apartment. As he passes out, Jesse complains about Walt holding out on him, telling Jane that he is owed $480,000. Donald calls Jane again when she is late for another rehab meeting; unbeknownst to Jane, he is waiting directly outside. Seeing her emerging from Jesse's door, he barges in and finds evidence of them both using heroin. He is furious that she has relapsed and calls the police, but doesn't finish it to make an official report when Jane promises she will enter rehab the next day. He relents and gives her another chance. Meanwhile, Walter Jr. has put up a website so that people can donate to Walt's cancer surgery utilizing PayPal. Walt does not want to accept charity, especially because he earned the money to pay for his treatment, but cannot reveal its source to his family. Saul Goodman tells him that he will contact a hacker to launder the money, making it look like it is coming from computers all over the world and averting suspicions by putting in small amounts.
Jane calls Walt to blackmail him into giving Jesse his share. Walt delivers the money to Jesse and Jane, who are ecstatic and talk of getting clean, but still feel a strong pull to use their remaining heroin. Walt goes to a bar to unwind, where he unknowingly sits next to Donald. The two start talking about the Phoenix probe's discovery of water on Mars and about Donald's daughter and Walt's ""nephew"" (Jesse), voicing their frustrations over trying to help people who will not do what is good for them. Donald opines that one can never give up on one's family. Motivated by Donald's words, Walt goes back to Jesse's house to talk to him but finds Jesse and Jane passed out from heroin use. While Walt is trying to wake Jesse, he inadvertently knocks Jane onto her back; she starts to choke on her own vomit. Walt rushes to help, but after hesitating for a moment he changes his mind and lets her die. He begins to cry before looking on resolutely.
",https://en.wikipedia.org/wiki/Phoenix_(Breaking_Bad)
20,2,13,ABQ,"Jesse Pinkman wakes from his heroin-induced sleep to find Jane Margolis dead, having choked on her own vomit.[a] He attempts CPR, to no avail, as she had already been dead several 
hours. Horrified and distraught, Jesse contacts Walter White. Walt calls Saul Goodman, who sends a cleaner, Mike Ehrmantraut, to remove evidence of drugs from Jesse's apartment. Jane's father Donald arrives at the apartment and discovers she has died. Jesse blames himself for Jane's death and runs off to a crack house. Walt locates an anguished Jesse and attempts to comfort him, before taking him to a rehab clinic.
Walt is preparing to undergo surgery to remove his cancer. The website that Walter Jr. made to bring in anonymous donations—in reality being used by Saul to launder Walt's drug money—garners media attention due to its apparent success; Walt is uncomfortable in the spotlight due to the pity shown him and his dislike of charitable donations. On the day of Walt's operation, as he is put under anesthesia, he groggily reveals the existence of a second cell phone he uses, making Skyler White suspicious of his activities. When Walt is released from the hospital, Skyler reveals that she has investigated his behavior over the past several months and found he has lied to her many times. Her discoveries include Gretchen never sending any money despite their medical bills nearly being paid and Walt not visiting his mother.[b] Skyler then tells Walt he has to move out; Walt offers to tell her everything, but she is too afraid to know and drives away.
Five weeks later, Donald returns to his job as an air traffic controller despite still grieving Jane's death. While on the job, his mind wanders to Jane when a charter plane's callsign reminds him of Jane's initials, and he inadvertently allows another plane—Wayfarer Airlines Flight 515, a Boeing 737—to cross the charter plane's path. Sitting beside his swimming pool, Walt is startled by an explosion overhead. As he watches the mid-air collision in horror, a teddy bear lands in the pool.[c]
",https://en.wikipedia.org/wiki/ABQ_(Breaking_Bad)
21,3,1,No Más,"Leonel and Marco Salamanca make a pilgrimage to a Mexican shrine to Santa Muerte, making an offering and leaving a drawing of Heisenberg at the shrine.
After a mid-air plane collision,[a] all of Albuquerque is in shock. A depressed Walter White is living in his home alone following the departure of his wife, Skyler, who has moved out with their son and newborn daughter to give Walt a chance to pack his things. Walt has pieced together that Donald Margolis inadvertently caused the plane crash when distracted by grief over his daughter Jane's death. Remorsefully he burns several bundles of money on the barbecue, but at the last moment changes his mind and throws the bills into the pool. While helping Walt to transport his belongings to a new apartment, Hank Schrader lifts the bag containing the money Walt obtained in his deal with Gus Fring. Walt openly admits the bag contains $500,000, but Hank laughs it off as a joke. Once in his new apartment, Walt calls to give his family his new address. He later receives a text message reading ""Pollos"". At a school assembly, Walt becomes agitated as teachers and students open up about the traumas they experienced due to the plane collision. When prompted to share his thoughts, he delivers an awkward speech comparing the accident to the Tenerife airport disaster, disturbing the group by advising them to ""look on the bright side"".
Skyler speaks to a divorce lawyer about making her separation from Walt permanent but hesitates when the attorney mentions the possibility of uncovering money Walt may have hidden. After being given a ride home from school by his father, Walter Jr. argues with both his parents and expresses anger towards Skyler, who refuses to give him an explanation. She also refuses when asked by her sister Marie Schrader. Finally she confronts Walt, presenting him with divorce papers. When she accuses him of being a drug dealer, Walt admits to being a methamphetamine cook. Skyler storms off in horror, saying that she will not expose his secret if he grants her the divorce and full custody of their children.
Walt's former business partner, Jesse Pinkman, is in rehab trying to overcome his drug addiction and come to terms with Jane's death, expressing self-loathing and guilt. During a group therapy session, the group leader confesses that while high on cocaine on his birthday a decade ago, he ran over and killed his own daughter in his pick-up truck while desperately trying to reach a liquor store for vodka. He follows this up by saying that hating oneself is only an impediment to moving on. Walt picks up Jesse and takes him to his apartment, where Jesse expresses remorse over the events that led to the mid-air collision. Walt tells him he is not responsible for what happened, but Jesse calmly insists that he has learned not to shy away from who he really is: ""the bad guy"". Inspired by this, Walt visits Gus at Los Pollos Hermanos and tells him of his decision to get out of the meth business. Gus presents an offer for Walt to make $3 million for three months' work, which Walt briefly considers but ultimately refuses.
Meanwhile, the Salamanca twins cross into the US from Mexico hidden in the back of a truck, in search of Heisenberg. After another migrant discovers their affiliation with the Juarez cartel, they kill their fellow passengers and the driver of the truck before blowing it up.
",https://en.wikipedia.org/wiki/No_M%C3%A1s_(Breaking_Bad)
22,3,2,Caballo sin Nombre,"While driving on a highway, Walter White is pulled over by a police officer for his windshield, which was cracked by debris in the Wayfarer crash.[a] When the officer alludes to having the car taken, Walt angrily snaps at him, leading him to be pepper sprayed and arrested. Hank Schrader picks him up from the station, and Walt tells him about his separation from Skyler White. Walt also tells Saul Goodman, who believes Skyler won't tell the police to avoid consequences against her. He suggests Walt ""find another woman"" and continue with his trade, but Walt refuses, leading Saul to call Mike Ehrmantraut, who begins staking out the Whites' house.
Jesse Pinkman stops by his old house and discovers that his parents have had it renovated and have put it up for sale. Offended that his father won't let him see the property, Jesse approaches Saul with a plan to buy the house from his parents. Saul offers Jesse's parents $400,000 cash for their $875,000 house on behalf of an anonymous buyer. They are outraged by the offer until Saul threatens to reveal that the house contained a meth lab at one time, which the Pinkmans fraudulently failed to disclose when they put the house for sale. Frightened that this will entangle the house in legal action and make it sell for far less, Jesse's parents agree. After the sale is complete, Jesse confidently walks into the house as its owner in front of his parents.
Walt Jr. experiences severe difficulty understanding why his mother refuses to let Walt back in, eventually snapping at her over dinner. Skyler, meanwhile, goes back to working for Ted. She refuses to sign his altered books, indicating that the fraud is too obvious and thus she cannot sign off on them before drawing a parallel between Ted's and Walt's criminal acts, asks what his daughters would think of him if they found out of his wrongdoing. Ted believes he would say that he had been weak but that his actions were for the good of his family. She later receives a call from Walt, telling her that Walt Jr. has gone to visit him. Walt does not tell his son the truth either and takes him home, where he tries to appease Skyler with pizza, to no avail. He later throws the pizza onto the roof in a fit of rage, and Skyler sends him a message, threatening to ask for a restraining order.
Walt proceeds to break into the house in order to forcibly move back in, unaware that Mike is installing surveillance equipment in the house. Elsewhere, the ""Cousins"" – Leonel and Marco Salamanca – approach their uncle, Hector Salamanca, who is now living in a retirement home following Tuco Salamanca's death. He gives them Walt's name and they eventually find his house. The cousins prepare to kill Walt with an axe, but before they can approach him in the shower, an onlooking Mike has Gus Fring text them, prompting them to leave.
",https://en.wikipedia.org/wiki/Caballo_sin_Nombre
23,3,3,I.F.T.,"In a flashback,[a] Tortuga is visited by Juan Bolsa at a bar. Led to the back by Juan, he is attacked by Leonel and Marco Salamanca for being a DEA informant and decapitated with a machete.
Walter White moves back into the house against Skyler White's will. Walter Jr. is thrilled, but Skyler calls the police in an attempt to have Walt thrown out. The police tell her that they cannot do anything without a court order; when one policeman asks Skyler about any possible illegal activity Walt may have been involved in, to serve as legal basis for throwing him out, Skyler declines to mention his drug manufacturing. Later, Skyler meets with her attorney. After she is assured that everything she says is confidential under attorney-client privilege, she admits that Walt is a meth manufacturer; her attorney advises her to sue him for divorce, and tell the police, but Skyler tearfully declines, saying that she does not want Walter Jr. to find out that his father is a criminal, especially given the likelihood that Walt's lung cancer will kill him in the near future. Later on, at work, Skyler begins an affair with Ted Beneke.
Jesse Pinkman is still having trouble coming to terms with Jane Margolis's death but has moved back into his house. Saul Goodman comes by, asking Jesse to try to convince Walt to get back into drug manufacturing; Jesse dismissively says he will handle it. However, later on, he chooses to cook a batch himself.
Leonel and Marco steal a minivan, bringing Hector Salamanca with them to a meeting with Gus Fring and Juan Bolsa. Gus says that they cannot kill Walter now, as he is doing business with him; once Gus's business with him is done, however, he will let them kill Walter.
Hank Schrader is still stressed and provokes a fight at a bar. He uses his status as a DEA agent to prevent the others at the bar from attacking him.
Walt shows the money he has earned to Skyler, in an attempt to get her to accept it, as he says it will help with the mortgage and Walter Jr.'s college tuition. He asks her to at least think about it; however, when she gets home from work later, in an attempt to get Walt to distance himself, she says, ""I fucked Ted"".
",https://en.wikipedia.org/wiki/I.F.T._(Breaking_Bad)
24,3,4,Green Light,"After coming up short for gasoline and cigarettes at a gas station, Jesse Pinkman offers meth to a cashier to get out of paying, which she eventually accepts.
Meanwhile, Walter White makes a scene at Skyler White’s workplace while confronting Ted Beneke, and he is thrown out of the building. Immediately afterward, Mike Ehrmantraut takes Walt to Saul Goodman's office. Saul tries to convince Walt to continue producing meth, but Walt refuses the offer once he finds out they bugged his house to discover the information. After making crude remarks about Skyler's affair, Walt proceeds to tackle Saul to the ground and fire him on the spot - thus losing Saul’s help laundering money. Consequently, Walter White Jr. has noticed a sudden stop in donations for his fundraising site.
After being called into her office, Walt makes a pass toward the vice principal at the school, Carmen Molina, by trying to kiss her. She rejects his advances and places him on indefinite leave. While he is leaving the school, he is intercepted by Jesse, who has produced a new batch of meth on his own. Walt rejects Jesse's product as substandard, and Jesse resolves to sell the product to Gus Fring himself, through Saul and Mike as the mediators. Gus reluctantly agrees to the purchase, anticipating that Walt's pride and financial need may convince him to accept his business proposition.
Skyler is continuing her affair with Ted, albeit with increasing suspicion from her co-workers after Walt's outburst. After having sex at his house, she refuses to disclose what went wrong in her marriage and declines Ted's offer to move in with him.
Meanwhile, Hank Schrader forgoes his assignment to El Paso at the last minute after receiving a brand new lead about the infamous blue meth. Steve Gomez is concerned about Hank's mental well-being; Hank dismisses these concerns. After intensely interrogating the cashier whom Jesse gave the meth to, Hank retrieves images from the ATM outside the gas station in order to persuade his boss to not resituate him to El Paso, convinced he is ""close to something big here"".
Jesse completes his first delivery to Victor, but is outraged when he only receives half of the money. Later, Walt is stopped at a red light when he hears on the radio that Donald Margolis, Jane Margolis' father, has been rushed to the hospital after a self-inflicted gunshot wound, in the wake of the air disaster that he oversaw.[a] Victor pulls up alongside the car and gives Walter ""his half"" of the earnings for Jesse's deal, driving off just before the light turns green.
",https://en.wikipedia.org/wiki/Green_Light_(Breaking_Bad)
